"Smart Suggest","Smart Suggest"
"Category page: left column","Category page: left column"
"Category page: right column","Category page: right column"
"Product page: additional info","Product page: additional info"
"Suggest page","Suggest page"
"Columns count","Columns count"
"Products count","Products count"
"Be sure that your theme does not remove 'product.info.additional' container from product page","Be sure that your theme does not remove 'product.info.additional' container from product page"
"Places, to search for suggested products (based on already viewed products)","Places, to search for suggested products (based on already viewed products)"
"Products from the same category","Products from the same category"
"Products with the same attribute set","Products with the same attribute set"
"Related products","Related products"
"Upsell products","Upsell products"
"Crossell products","Crossell products"
"Filters for founded products from category or with the same attribute set","Filters for founded products from category or with the same attribute set"
"Filter by price","Filter by price"
"Remember the average price of browsed products, and filter suggested items by it","Remember the average price of browsed products, and filter suggested items by it"
"Price min range, %","Price min range, %"
"default - '25'","default - '25'"
"Price max range, %","Price max range, %"
"Event importance (Do not change this, if you don't know what is this)","Event importance (Do not change this, if you don't know what is this)"
"Product in cart","Product in cart"
"Product in wishlist","Product in wishlist"
"Product viewed","Product viewed"
"Compared with another","Compared with another"
"Added to shopping cart","Added to shopping cart"
"Added to wishlist","Added to wishlist"
"Slider","Slider"
"Random","Random"
"Personalized recommendations","Personalized recommendations"
"Render as block for","Render as block for"
"Sidebar","Sidebar"
"Slider Id","Slider Id"
